GEOGRAPHY,ECODE,AREA_NAME,BAND,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
REGL,E12000009,SOUTH WEST,All,"472,980","115,640","81,920","186,910","156,360","224,260","258,550","255,660","237,470","145,390","206,770","93,110","34,250","2,469,260"
REGL,E12000009,SOUTH WEST,A,"102,190","24,510","9,180","17,750","48,530","37,500","37,590","44,050","41,380","16,360","31,960","16,270","7,890","435,160"
REGL,E12000009,SOUTH WEST,B,"111,370","38,030","26,130","50,900","52,610","43,490","50,950","68,500","60,460","28,380","44,650","22,630","5,770","603,870"
REGL,E12000009,SOUTH WEST,C,"87,500","24,960","21,530","52,580","28,960","59,410","78,310","62,060","45,660","31,460","47,300","22,980","5,380","568,070"
REGL,E12000009,SOUTH WEST,D,"61,770","12,890","11,480","34,670","12,650","46,480","52,390","38,350","37,980","24,770","36,400","14,960","4,870","389,670"
REGL,E12000009,SOUTH WEST,E,"47,640","7,550","6,800","18,040","7,830","24,170","26,260","26,180","30,190","25,340","25,180","9,080","4,550","258,810"
REGL,E12000009,SOUTH WEST,F,"31,850","4,560","3,930","8,170","3,800","9,350","9,340","11,580","14,830","12,580","13,750","4,490","3,000","131,210"
REGL,E12000009,SOUTH WEST,G,"26,770","2,840","2,660","4,500","1,900","3,720","3,560","4,750","6,750","6,160","6,790","2,290","2,170","74,860"
REGL,E12000009,SOUTH WEST,H,"3,900",300,210,290,80,150,140,190,220,350,750,420,610,"7,610"
CTYMET,E13000001,Inner London,All,"546,970","101,790","48,570","96,370","70,310","101,390","98,670","97,000","60,720","56,510","120,370","62,300","29,760","1,490,730"
CTYMET,E13000001,Inner London,A,"17,730","2,510","1,120","5,170","4,220","8,420","13,720","4,180","1,030",950,"2,940","3,680","3,240","68,930"
CTYMET,E13000001,Inner London,B,"57,340","10,170","6,150","25,330","25,910","36,350","32,580","28,580","10,190","5,030","9,990","5,170","6,090","258,870"
CTYMET,E13000001,Inner London,C,"125,860","29,010","18,390","24,600","24,790","34,680","29,190","34,190","16,150","12,470","26,370","11,990","6,990","394,660"
CTYMET,E13000001,Inner London,D,"128,070","25,050","10,350","19,580","10,330","12,090","11,800","19,000","14,030","13,440","31,990","19,080","6,000","320,790"
CTYMET,E13000001,Inner London,E,"84,270","14,970","5,980","9,400","2,530","3,680","4,980","5,970","8,500","10,210","23,660","12,670","3,360","190,160"
CTYMET,E13000001,Inner London,F,"52,570","10,000","2,610","5,550",880,"1,780","1,950","1,960","4,700","6,620","14,020","5,430","1,780","109,850"
CTYMET,E13000001,Inner London,G,"56,220","8,400","2,560","4,850","1,090","2,860","3,100","2,260","4,660","5,820","8,470","2,960","1,360","104,600"
CTYMET,E13000001,Inner London,H,"24,930","1,680","1,420","1,910",560,"1,540","1,360",870,"1,460","1,970","2,930","1,320",960,"42,890"
CTYMET,E13000002,Outer London,All,"234,730","209,700","188,330","514,230","123,170","142,710","122,750","118,140","97,650","66,290","111,170","55,590","11,390","1,995,840"
CTYMET,E13000002,Outer London,A,"8,170","4,530","3,130","3,460","5,060","8,170","12,610","7,690","2,070","1,000","1,980","1,690",790,"60,350"
