G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LAUA,E09000007,50280,3940,2810,6890,3700,7590,7670,7500,3040,3230,5510,2840,1250,106230
LAUA,E09000007,2570,70,70,80,80,120,170,210,2.5,20,190,10,60,3640
LAUA,E09000007,2380,170,270,980,860,1590,1930,2030,130,50,640,680,150,11870
LAUA,E09000007,6920,630,790,2270,1080,2410,2380,1830,510,320,680,160,160,20120
LAUA,E09000007,12220,1250,380,1700,1330,1980,1850,1540,800,750,790,520,280,25370
LAUA,E09000007,10730,790,180,810,200,450,480,870,650,670,1030,590,260,17690
LAUA,E09000007,6150,370,370,630,50,340,210,430,280,540,1080,450,120,11020
LAUA,E09000007,6930,420,390,270,60,510,560,510,500,630,850,340,130,12090
LAUA,E09000007,2390,250,360,160,40,190,90,80,180,270,260,90,90,4450
LAUA,E09000008,30550,15130,10060,29180,6590,14720,11460,9960,6780,4010,6920,3480,1850,150680
LAUA,E09000008,1210,250,30,230,20,120,290,310,160,30,40,130,90,2920
LAUA,E09000008,7260,1650,340,940,440,3570,2180,2090,1690,150,630,380,400,21720
LAUA,E09000008,13470,3980,1020,4680,1830,5910,3890,3060,2490,1160,3320,1480,700,46980
LAUA,E09000008,6590,5430,3850,8230,1680,1290,2820,2450,1100,1840,1590,790,270,37940
LAUA,E09000008,1240,1690,2410,8550,1600,1670,1280,950,530,360,730,480,140,21630
LAUA,E09000008,470,1080,1460,4410,700,1280,540,460,410,120,350,110,70,11460
LAUA,E09000008,270,920,840,2000,320,830,450,600,380,330,230,110,140,7410
LAUA,E09000008,50,130,110,130,10,40,20,30,20,20,40,10,30,630
LAUA,E09000009,18100,22860,10270,33640,5320,6280,7000,8830,5840,3240,6510,3970,340,132190
LAUA,E09000009,810,480,110,310,110,300,740,600,50,20,320,280,20,4130
