"","origin_i","origin_msoacode","destination_j","destination_msoacode","car","OD","bus","rail","flow","lon_o","lat_o","lon_d","lat_d","cluster"
"54",561,"E02000582",946,"E02000979",1,"E02000582E02000979",1,1,3,5.25058188533,1.80708242685,5.29590986513,1.79421287787,2
"55",563,"E02000584",944,"E02000977",2,"E02000584E02000977",4,2,8,5.2545919915,1.80069055595,5.29630668651,1.80417984158,2
"56",563,"E02000584",946,"E02000979",1,"E02000584E02000979",3,1,5,5.2545919915,1.80069055595,5.29590986513,1.79421287787,2
"57",565,"E02000586",946,"E02000979",1,"E02000586E02000979",4,5,10,5.26050432889,1.79353511618,5.29590986513,1.79421287787,2
"58",567,"E02000588",939,"E02000972",2,"E02000588E02000972",9,5,16,5.27640122083,1.79109918195,5.2918060312,1.81227810857,2
"59",567,"E02000588",944,"E02000977",7,"E02000588E02000977",3,10,20,5.27640122083,1.79109918195,5.29630668651,1.80417984158,2
"60",567,"E02000588",946,"E02000979",1,"E02000588E02000979",9,7,17,5.27640122083,1.79109918195,5.29590986513,1.79421287787,2
"61",571,"E02000592",944,"E02000977",3,"E02000592E02000977",2,7,12,5.26492137225,1.78689816484,5.29630668651,1.80417984158,2
"62",573,"E02000594",939,"E02000972",1,"E02000594E02000972",5,1,7,5.2783322883,1.780911831,5.2918060312,1.81227810857,2
"63",573,"E02000594",946,"E02000979",1,"E02000594E02000979",8,1,10,5.2783322883,1.780911831,5.29590986513,1.79421287787,2
"64",574,"E02000595",946,"E02000979",3,"E02000595E02000979",9,2,14,5.26959993529,1.77990476982,5.29590986513,1.79421287787,2
"65",575,"E02000596",944,"E02000977",1,"E02000596E02000977",10,2,13,5.26190058877,1.77884453672,5.29630668651,1.80417984158,2
"66",598,"E02000620",946,"E02000979",2,"E02000620E02000979",2,1,5,5.30945732027,1.7826639303,5.29590986513,1.79421287787,2
"67",609,"E02000631",187,"E02000193",1,"E02000631E02000193",6,1,8,5.32286543464,1.75556268642,5.3036714957,1.81625483058,2
"68",609,"E02000631",946,"E02000979",3,"E02000631E02000979",6,3,12,5.32286543464,1.75556268642,5.29590986513,1.79421287787,2
"69",697,"E02000722",6711,"E02006854",1,"E02000722E02006854",1,1,3,5.39682214706,1.84714704406,5.37419614025,1.80220296678,2
"70",700,"E02000725",6711,"E02006854",1,"E02000725E02006854",2,3,6,5.38983017027,1.84530048367,5.37419614025,1.80220296678,2
"71",778,"E02000808",187,"E02000193",1,"E02000808E02000193",6,6,13,5.32166446885,1.80073992834,5.3036714957,1.81625483058,2
"72",778,"E02000808",939,"E02000972",1,"E02000808E02000972",1,20,22,5.32166446885,1.80073992834,5.2918060312,1.81227810857,2
"73",778,"E02000808",944,"E02000977",4,"E02000808E02000977",4,8,16,5.32166446885,1.80073992834,5.29630668651,1.80417984158,2
"74",778,"E02000808",946,"E02000979",4,"E02000808E02000979",4,27,35,5.32166446885,1.80073992834,5.29590986513,1.79421287787,2
"75",779,"E02000809",187,"E02000193",4,"E02000809E02000193",8,9,21,5.33455150719,1.79816456749,5.3036714957,1.81625483058,2
"76",779,"E02000809",939,"E02000972",1,"E02000809E02000972",2,25,28,5.33455150719,1.79816456749,5.2918060312,1.81227810857,2
"77",779,"E02000809",944,"E02000977",6,"E02000809E02000977",3,18,27,5.33455150719,1.79816456749,5.29630668651,1.80417984158,2
"78",779,"E02000809",946,"E02000979",1,"E02000809E02000979",1,18,20,5.33455150719,1.79816456749,5.29590986513,1.79421287787,2
"79",781,"E02000812",944,"E02000977",1,"E02000812E02000977",1,2,4,5.32997774094,1.79405331629,5.29630668651,1.80417984158,2
"80",837,"E02000869",939,"E02000972",1,"E02000869E02000972",2,1,4,5.33883038406,1.82816550378,5.2918060312,1.81227810857,2
"81",846,"E02000878",187,"E02000193",2,"E02000878E02000193",7,11,20,5.33894896022,1.81772852818,5.3036714957,1.81625483058,2
"82",846,"E02000878",944,"E02000977",2,"E02000878E02000977",6,13,21,5.33894896022,1.81772852818,5.29630668651,1.80417984158,2
"83",846,"E02000878",6711,"E02006854",8,"E02000878E02006854",15,27,50,5.33894896022,1.81772852818,5.37419614025,1.80220296678,2
"84",847,"E02000879",6711,"E02006854",2,"E02000879E02006854",1,1,4,5.35525694909,1.81628336875,5.37419614025,1.80220296678,2
"85",848,"E02000880",6711,"E02006854",1,"E02000880E02006854",1,1,3,5.3498609976,1.81619156102,5.37419614025,1.80220296678,2
"86",850,"E02000882",6711,"E02006854",1,"E02000882E02006854",4,2,7,5.3610936772,1.81579656047,5.37419614025,1.80220296678,2
"87",852,"E02000884",6711,"E02006854",1,"E02000884E02006854",2,7,10,5.34262628337,1.81246619122,5.37419614025,1.80220296678,2
"88",853,"E02000885",6711,"E02006854",1,"E02000885E02006854",6,2,9,5.35176957661,1.81091049589,5.37419614025,1.80220296678,2
"89",855,"E02000887",6711,"E02006854",4,"E02000887E02006854",1,1,6,5.37422521011,1.81016599145,5.37419614025,1.80220296678,2
"90",859,"E02000891",6711,"E02006854",7,"E02000891E02006854",8,2,17,5.38391895142,1.80308514242,5.37419614025,1.80220296678,2
"91",860,"E02000893",6711,"E02006854",2,"E02000893E02006854",1,1,4,5.38311218621,1.78812765006,5.37419614025,1.80220296678,2
"92",891,"E02000924",944,"E02000977",2,"E02000924E02000977",1,1,4,5.2908043819,1.77047496342,5.29630668651,1.80417984158,2
"93",891,"E02000924",946,"E02000979",3,"E02000924E02000979",1,3,7,5.2908043819,1.77047496342,5.29590986513,1.79421287787,2
"94",927,"E02000960",946,"E02000979",8,"E02000960E02000979",2,8,18,5.27372342391,1.83386527712,5.29590986513,1.79421287787,2
"95",934,"E02000967",939,"E02000972",9,"E02000967E02000972",8,5,22,5.27883156648,1.8254645578,5.2918060312,1.81227810857,2
"96",934,"E02000967",944,"E02000977",3,"E02000967E02000977",1,8,12,5.27883156648,1.8254645578,5.29630668651,1.80417984158,2
"97",934,"E02000967",946,"E02000979",3,"E02000967E02000979",5,15,23,5.27883156648,1.8254645578,5.29590986513,1.79421287787,2
"98",935,"E02000968",944,"E02000977",1,"E02000968E02000977",1,2,4,5.26963944363,1.82062900938,5.29630668651,1.80417984158,2
"99",936,"E02000969",939,"E02000972",2,"E02000969E02000972",1,2,5,5.25455971613,1.81816790678,5.2918060312,1.81227810857,2
"100",937,"E02000970",187,"E02000193",2,"E02000970E02000193",12,20,34,5.28366143049,1.81393658723,5.3036714957,1.81625483058,2
"101",937,"E02000970",939,"E02000972",12,"E02000970E02000972",13,4,29,5.28366143049,1.81393658723,5.2918060312,1.81227810857,2
"102",937,"E02000970",944,"E02000977",6,"E02000970E02000977",8,12,26,5.28366143049,1.81393658723,5.29630668651,1.80417984158,2
"103",937,"E02000970",946,"E02000979",9,"E02000970E02000979",26,18,53,5.28366143049,1.81393658723,5.29590986513,1.79421287787,2
"104",938,"E02000971",939,"E02000972",2,"E02000971E02000972",5,2,9,5.27625532345,1.81524749916,5.2918060312,1.81227810857,2
"105",938,"E02000971",946,"E02000979",1,"E02000971E02000979",7,5,13,5.27625532345,1.81524749916,5.29590986513,1.79421287787,2
"106",939,"E02000972",187,"E02000193",2,"E02000972E02000193",29,19,50,5.2918060312,1.81227810857,5.3036714957,1.81625483058,2
"107",939,"E02000972",944,"E02000977",9,"E02000972E02000977",17,27,53,5.2918060312,1.81227810857,5.29630668651,1.80417984158,2
"108",939,"E02000972",946,"E02000979",10,"E02000972E02000979",37,45,92,5.2918060312,1.81227810857,5.29590986513,1.79421287787,2
"109",941,"E02000974",939,"E02000972",2,"E02000974E02000972",4,6,12,5.27027210368,1.81253570371,5.2918060312,1.81227810857,2
"110",941,"E02000974",946,"E02000979",2,"E02000974E02000979",7,5,14,5.27027210368,1.81253570371,5.29590986513,1.79421287787,2
